iter	Passed	Remaining
432	1613	5837
433	1616	5833
434	1620	5829
435	1624	5825
436	1627	5821
437	1631	5818
438	1635	5814
439	1638	5810
440	1642	5806
441	1646	5802
442	1649	5798
443	1653	5793
444	1656	5790
445	1660	5786
446	1664	5781
447	1668	5779
448	1671	5775
449	1675	5771
450	1679	5767
451	1683	5764
452	1686	5759
453	1690	5755
454	1693	5751
455	1697	5748
456	1701	5744
457	1704	5739
458	1708	5735
459	1711	5731
460	1715	5728
461	1719	5723
462	1722	5719
463	1726	5714
464	1729	5710
465	1733	5706
466	1737	5702
467	1740	5698
468	1744	5694
469	1747	5690
470	1751	5686
471	1755	5682
472	1759	5679
473	1762	5675
474	1766	5671
475	1770	5667
476	1773	5664
477	1777	5659
478	1781	5657
479	1785	5653
480	1789	5650
481	1792	5646
482	1796	5642
483	1800	5638
484	1803	5634
485	1807	5630
486	1811	5626
487	1814	5622
488	1818	5618
489	1821	5614
490	1825	5611
491	1829	5607
492	1833	5603
493	1837	5600
494	1840	5596
495	1844	5592
496	1847	5588
497	1851	5584
498	1855	5580
499	1858	5576
500	1862	5572
501	1866	5569
502	1870	5566
503	1873	5562
504	1877	5558
505	1881	5554
506	1885	5551
507	1889	5548
508	1892	5544
509	1896	5541
510	1900	5537
511	1904	5534
512	1907	5530
513	1911	5526
514	1915	5522
515	1919	5519
516	1922	5515
517	1926	5511
518	1929	5506
519	1933	5503
520	1937	5499
521	1940	5494
522	1944	5490
523	1947	5486
524	1951	5482
525	1955	5478
526	1958	5474
527	1962	5471
528	1966	5467
529	1969	5463
530	1973	5459
531	1977	5455
532	1980	5452
533	1984	5447
534	1988	5444
535	1991	5439
536	1994	5435
537	1998	5431
538	2002	5427
539	2005	5423
540	2009	5418
541	2013	5415
542	2016	5411
543	2020	5407
544	2023	5402
545	2027	5398
546	2030	5394
547	2034	5391
548	2038	5387
549	2041	5383
550	2045	5379
551	2048	5374
552	2052	5371
553	2056	5367
554	2060	5364
555	2063	5360
556	2067	5356
557	2071	5351
558	2074	5347
559	2078	5343
560	2081	5339
561	2085	5336
562	2089	5332
563	2092	5327
564	2096	5323
565	2099	5320
566	2103	5316
567	2107	5312
568	2111	5309
569	2115	5306
570	2118	5302
571	2122	5298
572	2126	5294
573	2129	5291
574	2133	5288
575	2137	5284
576	2141	5280
577	2144	5276
578	2148	5273
579	2152	5269
580	2155	5265
581	2159	5261
582	2163	5258
583	2166	5253
584	2170	5249
585	2173	5245
586	2177	5241
587	2181	5238
588	2185	5234
589	2188	5230
590	2192	5226
591	2196	5223
592	2199	5219
593	2203	5214
594	2206	5210
595	2210	5207
596	2213	5202
597	2217	5199
598	2221	5194
599	2224	5191
600	2228	5187
601	2232	5184
602	2236	5182
603	2240	5178
604	2244	5175
605	2248	5171
606	2252	5168
607	2255	5164
608	2259	5161
609	2263	5156
610	2266	5153
611	2270	5149
612	2274	5146
613	2277	5142
614	2281	5138
615	2285	5135
616	2289	5132
617	2293	5128
618	2297	5125
619	2300	5121
620	2304	5116
621	2307	5113
622	2311	5108
623	2314	5104
624	2318	5100
625	2322	5096
626	2326	5093
627	2329	5090
628	2333	5086
629	2337	5082
630	2341	5079
631	2344	5075
632	2348	5071
633	2351	5067
634	2355	5063
635	2359	5059
636	2362	5056
637	2366	5052
638	2370	5048
639	2374	5044
640	2377	5040
641	2381	5036
642	2384	5032
643	2388	5029
644	2391	5024
645	2395	5020
646	2399	5016
647	2402	5012
648	2406	5008
649	2409	5004
650	2413	5001
651	2417	4997
652	2420	4993
653	2424	4990
654	2428	4986
655	2432	4982
656	2435	4978
657	2439	4974
658	2442	4970
659	2446	4967
660	2450	4963
661	2453	4959
662	2457	4955
663	2461	4952
664	2464	4948
665	2468	4943
666	2471	4940
667	2475	4936
668	2479	4932
669	2482	4928
670	2486	4925
671	2489	4920
672	2493	4916
673	2497	4913
674	2501	4909
675	2504	4906
676	2508	4902
677	2512	4898
678	2515	4894
679	2519	4890
680	2523	4887
681	2526	4883
682	2530	4879
683	2534	4875
684	2537	4871
685	2541	4868
686	2545	4865
687	2549	4862
688	2553	4858
689	2556	4854
690	2560	4849
691	2564	4846
692	2567	4842
693	2571	4838
694	2574	4834
695	2578	4830
696	2581	4826
697	2585	4822
698	2588	4818
699	2592	4815
700	2596	4811
701	2600	4807
702	2604	4804
703	2608	4801
704	2611	4797
705	2615	4793
706	2618	4789
707	2622	4785
708	2626	4782
709	2630	4779
710	2633	4775
711	2637	4771
712	2641	4768
713	2645	4764
714	2649	4760
715	2652	4756
716	2656	4753
717	2660	4749
718	2664	4746
719	2667	4742
720	2671	4739
721	2675	4735
722	2678	4731
723	2682	4726
724	2685	4722
725	2689	4718
726	2692	4715
727	2696	4711
728	2699	4707
729	2703	4703
730	2707	4699
731	2710	4695
732	2714	4692
733	2718	4688
734	2721	4684
735	2725	4680
736	2729	4677
737	2732	4673
738	2736	4669
739	2739	4665
740	2743	4661
741	2747	4657
742	2750	4654
743	2754	4650
744	2758	4646
745	2761	4642
746	2765	4638
