iter	Passed	Remaining
402	10494	20754
403	10523	20735
404	10548	20706
405	10576	20683
406	10602	20657
407	10626	20627
408	10653	20604
409	10683	20585
410	10708	20558
411	10735	20532
412	10761	20506
413	10789	20485
414	10816	20459
415	10845	20439
416	10870	20410
417	10898	20389
418	10923	20360
419	10951	20338
420	10979	20315
421	11004	20287
422	11027	20256
423	11051	20225
424	11077	20199
425	11100	20167
426	11127	20144
427	11155	20121
428	11184	20101
429	11209	20072
430	11234	20044
431	11261	20021
432	11289	19998
433	11316	19973
434	11341	19945
435	11367	19919
436	11391	19890
437	11419	19866
438	11444	19838
439	11473	19817
440	11500	19792
441	11525	19765
442	11552	19740
