iter	MAE
212	0.3212983127
213	0.3212025846
214	0.3210001404
215	0.3208999699
216	0.320807463
217	0.3207206654
218	0.3206819269
219	0.3205991753
220	0.3204940233
221	0.3204376958
222	0.3203261626
223	0.3202517491
224	0.3200643248
225	0.3200130848
226	0.3199446298
227	0.3198632477
228	0.3197378595
229	0.3196634214
230	0.3195255637
231	0.319468269
232	0.3194125021
233	0.3193301649
234	0.3192214365
235	0.3191740006
236	0.3190874759
237	0.3189126403
238	0.3188125992
239	0.3187732875
240	0.3186856657
241	0.3185919568
242	0.3185122574
243	0.3184320672
244	0.3183647703
245	0.3182428908
246	0.3181391338
247	0.3180509537
248	0.3180089014
249	0.3179388423
250	0.3178661419
251	0.3177980189
252	0.3177170854
253	0.3176690688
254	0.3175740906
255	0.317417013
256	0.3173318426
257	0.3172709876
258	0.3172103017
259	0.3171769013
260	0.3171321986
261	0.3170673427
262	0.3170065198
263	0.316949502
264	0.3169191268
265	0.3168327085
266	0.3167785565
267	0.3167139379
268	0.316687605
269	0.3166022405
270	0.3165063628
271	0.3164060185
272	0.3163749663
273	0.3162518487
274	0.3162209339
275	0.3161827045
276	0.316136331
277	0.3161008657
278	0.316073657
279	0.315962325
280	0.3158926837
281	0.3158720903
282	0.315822805
283	0.3157954053
284	0.3157377511
285	0.3156958493
286	0.3156720573
287	0.3156042516
288	0.3155519417
289	0.3154710208
290	0.3153700604
291	0.3153478368
292	0.3152957664
293	0.3152118278
294	0.3151846048
295	0.3151524971
296	0.3151199671
297	0.315077901
298	0.3150256566
299	0.3149887968
300	0.3149566089
301	0.3148712503
302	0.3148240849
303	0.3147714374
304	0.3147292326
305	0.3146502828
306	0.314621676
307	0.3145698331
308	0.3145028479
309	0.3144903474
310	0.3144401897
311	0.3143327784
312	0.3143027948
313	0.314253798
314	0.314238307
315	0.3141870284
316	0.3141080495
317	0.3140600499
318	0.3140202163
319	0.3139463359
320	0.31390373
321	0.3138816016
322	0.3138525476
323	0.313825754
324	0.3137759999
325	0.3137412894
326	0.3136957246
327	0.3136318039
328	0.3136032636
329	0.3135354093
330	0.3134771092
331	0.3134518692
332	0.3133683188
333	0.3133524135
334	0.3133236819
335	0.3132086352
336	0.3131564329
337	0.3130832424
338	0.3129899313
339	0.3128951405
340	0.3128308078
341	0.3127980531
342	0.3127802502
343	0.3127126099
344	0.3126749813
345	0.3124554827
346	0.3124353866
347	0.3124102115
348	0.3123806548
349	0.3121423109
350	0.3120555815
351	0.3118375745
352	0.3115854511
353	0.3113226537
354	0.3112783008
355	0.3112430514
356	0.3111690158
357	0.3111398448
358	0.3110947454
359	0.3110210191
360	0.3107125763
361	0.3105588125
362	0.310372357
363	0.3099985264
364	0.3098149003
365	0.3097498155
366	0.3096694106
367	0.3096233172
368	0.3093967145
369	0.3091309574
370	0.3090913419
371	0.3089315115
372	0.3085152751
373	0.3084240416
374	0.3083930023
375	0.3083713014
376	0.3083435119
377	0.3083248635
378	0.3081288565
379	0.3079355638
380	0.3077892452
381	0.3076945451
382	0.307664599
383	0.3076247943
384	0.3075030338
385	0.30728859
386	0.3070121362
387	0.3069698795
388	0.3069491235
389	0.3069253258
390	0.3069064801
391	0.3068672754
392	0.3067192424
393	0.306683276
394	0.3066591192
395	0.3066317939
396	0.306555038
397	0.3064987356
398	0.3064871507
399	0.3064555861
400	0.3064307031
401	0.3063955278
402	0.306199468
403	0.3061626804
404	0.3061329798
405	0.3058922873
406	0.3057880631
407	0.3057638686
408	0.3056898495
409	0.3056674287
410	0.3056399368
411	0.3056232515
412	0.3054006194
413	0.3052611069
414	0.3051658705
415	0.3049544152
416	0.3049279646
417	0.304833392
418	0.3046288817
419	0.3046031669
420	0.3045616263
421	0.3043271263
422	0.304307053
423	0.3041376433
424	0.3040681845
425	0.3040524912
426	0.3038735582
427	0.3037543214
428	0.3037464935
429	0.3036538499
430	0.3034598519
431	0.3033961978
432	0.3032209567
433	0.3030105139
434	0.3028716145
435	0.3028633229
436	0.3027692525
437	0.3026432254
438	0.3024556971
439	0.3023926023
440	0.302362446
441	0.3023270707
442	0.3021860915
