number,value,datetime_start,datetime_complete,duration,params_attention_dropout,params_attention_heads,params_batch_size,params_embedding_size,params_ff_dropout,params_learning_rate,params_transformer_depth,state
0,inf,2025-10-16 21:36:53.205834,2025-10-16 21:36:53.207267,0 days 00:00:00.001433,0.1948549787496328,16,256,16,0.4213605550426892,0.0020211085933501626,5,COMPLETE
1,inf,2025-10-16 21:36:53.207724,2025-10-16 21:36:53.207993,0 days 00:00:00.000269,0.309257854957052,16,256,128,0.347259063170498,0.0053702217886043195,6,COMPLETE
2,inf,2025-10-16 21:36:53.208548,2025-10-16 21:36:53.208833,0 days 00:00:00.000285,0.2220156382841561,4,128,128,0.3762027628446947,0.0015672351617127581,5,COMPLETE
3,inf,2025-10-16 21:36:53.209069,2025-10-16 21:36:53.209323,0 days 00:00:00.000254,0.14250585993676212,2,64,32,0.23161126184369435,0.0025707096627747635,3,COMPLETE
4,inf,2025-10-16 21:36:53.209597,2025-10-16 21:36:53.209795,0 days 00:00:00.000198,0.3425032707178112,4,128,128,0.2156017649052122,7.475122708831109e-05,7,COMPLETE
5,inf,2025-10-16 21:36:53.210020,2025-10-16 21:36:53.210198,0 days 00:00:00.000178,0.24224097700873065,8,128,16,0.45572028552463695,0.0001592033306381613,2,COMPLETE
6,inf,2025-10-16 21:36:53.210414,2025-10-16 21:36:53.210586,0 days 00:00:00.000172,0.3541554869997888,8,64,16,0.14885732823236258,0.0017271031794340093,6,COMPLETE
7,inf,2025-10-16 21:36:53.210864,2025-10-16 21:36:53.211124,0 days 00:00:00.000260,0.15893276866735717,4,512,64,0.3918980117837823,0.007785626253678763,6,COMPLETE
8,inf,2025-10-16 21:36:53.211530,2025-10-16 21:36:53.211727,0 days 00:00:00.000197,0.006402945509680458,2,128,16,0.2587952365661634,0.000835995021211276,2,COMPLETE
9,inf,2025-10-16 21:36:53.211946,2025-10-16 21:36:53.212129,0 days 00:00:00.000183,0.461680403993497,2,512,32,0.47801495660424387,3.0612461224363034e-05,7,COMPLETE
10,inf,2025-10-16 21:36:53.212335,2025-10-16 21:36:53.215641,0 days 00:00:00.003306,0.05546426307582483,16,256,64,0.02396612264156367,0.0004257635992383547,4,COMPLETE
11,inf,2025-10-16 21:36:53.215973,2025-10-16 21:36:53.218932,0 days 00:00:00.002959,0.33220462945380447,16,256,128,0.34401317441537266,0.00877398937897186,8,COMPLETE
12,inf,2025-10-16 21:36:53.219289,2025-10-16 21:36:53.221418,0 days 00:00:00.002129,0.4253696515395904,16,256,16,0.316196365134081,0.004354606636677198,5,COMPLETE
13,inf,2025-10-16 21:36:53.221686,2025-10-16 21:36:53.224070,0 days 00:00:00.002384,0.15971567096052391,16,256,128,0.425227699267949,0.000587151200552066,4,COMPLETE
14,inf,2025-10-16 21:36:53.224540,2025-10-16 21:36:53.227723,0 days 00:00:00.003183,0.28542567371377436,16,256,16,0.3033012198697315,1.0010430751884122e-05,6,COMPLETE
15,inf,2025-10-16 21:36:53.228104,2025-10-16 21:36:53.230100,0 days 00:00:00.001996,0.40234214618848674,16,256,128,0.48421443706888845,0.0033655781511653395,4,COMPLETE
16,inf,2025-10-16 21:36:53.230356,2025-10-16 21:36:53.232281,0 days 00:00:00.001925,0.4989406542118049,16,256,32,0.1479720905820602,0.0010410521651367526,8,COMPLETE
