number,value,datetime_start,datetime_complete,duration,params_attention_dropout,params_attention_heads,params_batch_size,params_embedding_size,params_ff_dropout,params_learning_rate,params_transformer_depth,state
33,inf,2025-10-16 22:20:13.106645,2025-10-16 22:20:13.108698,0 days 00:00:00.002053,0.054182846660784295,16,64,128,0.254250882115326,0.0003267884890144114,3,COMPLETE
34,inf,2025-10-16 22:20:13.108930,2025-10-16 22:20:13.111588,0 days 00:00:00.002658,0.1367019175028838,16,64,128,0.12477699579496818,0.00017090521178828163,4,COMPLETE
35,inf,2025-10-16 22:20:13.111878,2025-10-16 22:20:13.114042,0 days 00:00:00.002164,0.01720638799529281,8,512,64,0.306929728298831,7.255617117427961e-05,2,COMPLETE
36,inf,2025-10-16 22:20:13.114353,2025-10-16 22:20:13.116573,0 days 00:00:00.002220,0.2338261064546101,16,64,32,0.24305990574210679,0.0004344565835169052,6,COMPLETE
37,inf,2025-10-16 22:20:13.116890,2025-10-16 22:20:13.119168,0 days 00:00:00.002278,0.26548440044731725,4,64,128,0.4149539331957349,0.0019221696898436822,5,COMPLETE
38,inf,2025-10-16 22:20:13.119405,2025-10-16 22:20:13.121501,0 days 00:00:00.002096,0.0824958618174437,8,512,16,0.16786290662119635,0.0008635237716461293,3,COMPLETE
39,inf,2025-10-16 22:20:13.121731,2025-10-16 22:20:13.123850,0 days 00:00:00.002119,0.13217771206143014,16,128,32,0.19182868038839482,0.0002630993051979809,8,COMPLETE
40,inf,2025-10-16 22:20:13.124086,2025-10-16 22:20:13.126434,0 days 00:00:00.002348,0.2188444332716992,2,256,64,0.1313716627513842,4.7148662657227196e-05,6,COMPLETE
41,inf,2025-10-16 22:20:13.126717,2025-10-16 22:20:13.128864,0 days 00:00:00.002147,0.00028534959160639306,8,512,128,0.4360043259032829,7.456463335409242e-05,3,COMPLETE
42,inf,2025-10-16 22:20:13.129107,2025-10-16 22:20:13.131224,0 days 00:00:00.002117,0.04579564182593614,8,512,128,0.4751577093197553,0.001507983365174517,2,COMPLETE
43,inf,2025-10-16 22:20:13.131458,2025-10-16 22:20:13.133865,0 days 00:00:00.002407,0.4043123921103544,8,512,128,0.3502920356602133,0.0001660440804612647,2,COMPLETE
44,inf,2025-10-16 22:20:13.134122,2025-10-16 22:20:13.136202,0 days 00:00:00.002080,0.49942189127108005,8,512,16,0.3843572218369793,1.6824254731098184e-05,3,COMPLETE
45,inf,2025-10-16 22:20:13.136437,2025-10-16 22:20:13.138565,0 days 00:00:00.002128,0.025495438616154345,8,128,32,0.03507175489438277,0.00033937579237973355,4,COMPLETE
46,inf,2025-10-16 22:20:13.138800,2025-10-16 22:20:13.140965,0 days 00:00:00.002165,0.07411389383741412,8,64,128,0.22043301053125483,0.0005979422567316766,4,COMPLETE
47,inf,2025-10-16 22:20:13.141206,2025-10-16 22:20:13.143909,0 days 00:00:00.002703,0.11287948349190502,8,128,16,0.3157037937173439,8.843233760904853e-05,2,COMPLETE
48,inf,2025-10-16 22:20:13.144272,2025-10-16 22:20:13.146498,0 days 00:00:00.002226,0.1809026055676229,4,256,32,0.09252650252854316,0.00022761778199416064,3,COMPLETE
49,inf,2025-10-16 22:20:13.146749,2025-10-16 22:20:13.148973,0 days 00:00:00.002224,0.28103154181428563,2,64,16,0.2579446236051959,0.005718504296491823,5,COMPLETE
50,inf,2025-10-16 22:20:13.149219,2025-10-16 22:20:13.151618,0 days 00:00:00.002399,0.31471163242214634,16,512,64,0.15152289535005176,0.000921974148507229,7,COMPLETE
51,inf,2025-10-16 22:20:13.151904,2025-10-16 22:20:13.154205,0 days 00:00:00.002301,0.2136776199916026,16,512,64,0.19190511948674674,4.1547934276763586e-05,6,COMPLETE
52,inf,2025-10-16 22:20:13.154453,2025-10-16 22:20:13.156621,0 days 00:00:00.002168,0.15172862056643763,16,512,64,0.30324438493838934,0.00011914138050166426,6,COMPLETE
53,inf,2025-10-16 22:20:13.156849,2025-10-16 22:20:13.159307,0 days 00:00:00.002458,0.36431791143202136,16,512,64,0.2703007037162358,2.493617426155686e-05,6,COMPLETE
54,inf,2025-10-16 22:20:13.159565,2025-10-16 22:20:13.161741,0 days 00:00:00.002176,0.23081281026345368,8,128,16,0.36548815871191215,1.4140852427393e-05,5,COMPLETE
55,inf,2025-10-16 22:20:13.161976,2025-10-16 22:20:13.164194,0 days 00:00:00.002218,0.19271462668099137,16,64,32,0.2407773737567616,0.00015335655252603212,7,COMPLETE
56,inf,2025-10-16 22:20:13.164427,2025-10-16 22:20:13.166743,0 days 00:00:00.002316,0.26807976032679504,8,64,16,0.4123712996976683,9.500194751405628e-05,6,COMPLETE
57,inf,2025-10-16 22:20:13.167036,2025-10-16 22:20:13.169428,0 days 00:00:00.002392,0.34067163219581925,16,512,64,0.4930663289263652,1.0670251117830782e-05,5,COMPLETE
