number,value,datetime_start,datetime_complete,duration,params_attention_dropout,params_attention_heads,params_batch_size,params_embedding_size,params_ff_dropout,params_learning_rate,params_transformer_depth,state
0,inf,2025-10-16 22:42:47.237447,2025-10-16 22:42:47.238515,0 days 00:00:00.001068,0.16859829246553182,2,256,16,0.43497488039993354,0.00013134703071063583,3,COMPLETE
1,inf,2025-10-16 22:42:47.238966,2025-10-16 22:42:47.239240,0 days 00:00:00.000274,0.05360131552600356,4,512,64,0.4333852980451015,0.0012094229710896624,8,COMPLETE
2,inf,2025-10-16 22:42:47.239543,2025-10-16 22:42:47.239742,0 days 00:00:00.000199,0.31001680460241704,16,256,64,0.15351644616825028,0.00021305004318241316,3,COMPLETE
3,inf,2025-10-16 22:42:47.239980,2025-10-16 22:42:47.240160,0 days 00:00:00.000180,0.043040900886862965,4,256,64,0.3969972284796742,0.0001060180513386475,6,COMPLETE
4,inf,2025-10-16 22:42:47.240385,2025-10-16 22:42:47.240550,0 days 00:00:00.000165,0.18145773574310525,16,128,64,0.2252309392642734,0.009760528377388196,2,COMPLETE
5,inf,2025-10-16 22:42:47.240769,2025-10-16 22:42:47.240942,0 days 00:00:00.000173,0.007944267013324235,2,128,16,0.4521157405306581,4.245464199595329e-05,2,COMPLETE
6,inf,2025-10-16 22:42:47.241155,2025-10-16 22:42:47.241317,0 days 00:00:00.000162,0.4342683650699543,16,512,128,0.38833031226191245,0.00028048400553902676,3,COMPLETE
7,inf,2025-10-16 22:42:47.241523,2025-10-16 22:42:47.241688,0 days 00:00:00.000165,0.37663007509231006,2,128,16,0.0382721360248483,0.002372825188091831,8,COMPLETE
8,inf,2025-10-16 22:42:47.241898,2025-10-16 22:42:47.242067,0 days 00:00:00.000169,0.20373844130302465,4,512,16,0.18688761940334975,5.9857969476656926e-05,4,COMPLETE
9,inf,2025-10-16 22:42:47.242449,2025-10-16 22:42:47.242751,0 days 00:00:00.000302,0.3609463807081545,4,256,16,0.4409489024883425,0.001667872765394467,4,COMPLETE
10,inf,2025-10-16 22:42:47.243080,2025-10-16 22:42:47.246446,0 days 00:00:00.003366,0.14725582690708383,8,64,32,0.3127483944132391,2.8767545903802893e-05,6,COMPLETE
11,inf,2025-10-16 22:42:47.246792,2025-10-16 22:42:47.249791,0 days 00:00:00.002999,0.10056367659037081,2,512,128,0.49781755693100677,0.0011900742416144068,8,COMPLETE
12,inf,2025-10-16 22:42:47.250140,2025-10-16 22:42:47.252318,0 days 00:00:00.002178,0.09209835639776827,8,64,32,0.31333739354892154,1.0930352749868637e-05,6,COMPLETE
13,inf,2025-10-16 22:42:47.253079,2025-10-16 22:42:47.255343,0 days 00:00:00.002264,0.2487404045487565,4,256,64,0.3461722772244229,0.000634165813896823,7,COMPLETE
14,inf,2025-10-16 22:42:47.255656,2025-10-16 22:42:47.257668,0 days 00:00:00.002012,0.10550990385923642,2,512,16,0.26852163514296956,0.007048763126375778,5,COMPLETE
15,inf,2025-10-16 22:42:47.258037,2025-10-16 22:42:47.260381,0 days 00:00:00.002344,0.24465126276895258,4,256,64,0.4732625441621815,0.0006074794518070959,4,COMPLETE
16,inf,2025-10-16 22:42:47.260817,2025-10-16 22:42:47.262966,0 days 00:00:00.002149,0.04974238326914063,2,512,32,0.40442760025053737,0.003262499390590544,7,COMPLETE
17,inf,2025-10-16 22:42:47.263322,2025-10-16 22:42:47.265443,0 days 00:00:00.002121,0.18033743601037197,8,64,128,0.09971242698555471,0.0001499888193659526,5,COMPLETE
18,inf,2025-10-16 22:42:47.265729,2025-10-16 22:42:47.267519,0 days 00:00:00.001790,0.4913734814025106,2,512,16,0.34470808330903446,0.0006769859486880543,3,COMPLETE
19,inf,2025-10-16 22:42:47.267741,2025-10-16 22:42:47.270122,0 days 00:00:00.002381,0.1327598434699747,4,256,64,0.26592454807150917,8.555002941335495e-05,7,COMPLETE
20,inf,2025-10-16 22:42:47.270460,2025-10-16 22:42:47.272376,0 days 00:00:00.001916,0.29815753054028893,2,512,16,0.42187549216252385,0.004483712780919522,2,COMPLETE
21,inf,2025-10-16 22:42:47.272742,2025-10-16 22:42:47.275213,0 days 00:00:00.002471,0.3033474138022678,16,256,64,0.14803540225064402,0.00021112572561221102,3,COMPLETE
22,inf,2025-10-16 22:42:47.275526,2025-10-16 22:42:47.277883,0 days 00:00:00.002357,0.29640058474928543,16,256,64,0.10771705013748017,0.0004188763056277802,3,COMPLETE
23,inf,2025-10-16 22:42:47.278175,2025-10-16 22:42:47.280081,0 days 00:00:00.001906,0.35127432962692506,16,256,64,0.2026494465785552,0.0012676912012183593,4,COMPLETE
24,inf,2025-10-16 22:42:47.280323,2025-10-16 22:42:47.282238,0 days 00:00:00.001915,0.2275267329663192,16,256,64,0.0059398035442502495,0.00019381429059261925,5,COMPLETE
25,inf,2025-10-16 22:42:47.282466,2025-10-16 22:42:47.284436,0 days 00:00:00.001970,0.05944746915839905,16,256,64,0.15440239453664717,0.0003758185413568584,3,COMPLETE
