number,value,datetime_start,datetime_complete,duration,params_attention_dropout,params_attention_heads,params_batch_size,params_embedding_size,params_ff_dropout,params_learning_rate,params_transformer_depth,state
0,inf,2025-10-16 22:08:12.050577,2025-10-16 22:08:12.051778,0 days 00:00:00.001201,0.25285073920896706,4,256,32,0.3409624977918153,0.0009572031108403548,4,COMPLETE
1,inf,2025-10-16 22:08:12.052235,2025-10-16 22:08:12.052495,0 days 00:00:00.000260,0.1824640950874299,4,256,128,0.12558389323684993,0.006337357045559527,7,COMPLETE
2,inf,2025-10-16 22:08:12.052764,2025-10-16 22:08:12.052955,0 days 00:00:00.000191,0.35314921472370825,2,512,16,0.10467046736221719,5.3093372707904796e-05,2,COMPLETE
3,inf,2025-10-16 22:08:12.053180,2025-10-16 22:08:12.053365,0 days 00:00:00.000185,0.06578677125700655,8,512,16,0.23602929435571451,1.528411303696068e-05,6,COMPLETE
4,inf,2025-10-16 22:08:12.053584,2025-10-16 22:08:12.053760,0 days 00:00:00.000176,0.4492342497326753,8,256,32,0.44984677844086435,3.567221171791038e-05,2,COMPLETE
5,inf,2025-10-16 22:08:12.053980,2025-10-16 22:08:12.054140,0 days 00:00:00.000160,0.06985064504563471,16,512,128,0.35792392551477503,5.135403988773307e-05,5,COMPLETE
6,inf,2025-10-16 22:08:12.054357,2025-10-16 22:08:12.054517,0 days 00:00:00.000160,0.34635510691211546,4,128,32,0.4029446131529557,0.005361962735476351,6,COMPLETE
7,inf,2025-10-16 22:08:12.054775,2025-10-16 22:08:12.054950,0 days 00:00:00.000175,0.39330097054107976,4,128,16,0.3576242356421093,0.009330524410010779,4,COMPLETE
8,inf,2025-10-16 22:08:12.055453,2025-10-16 22:08:12.055716,0 days 00:00:00.000263,0.49940532643418195,4,64,128,0.3966788792488769,0.0085319616436389,5,COMPLETE
9,inf,2025-10-16 22:08:12.056023,2025-10-16 22:08:12.056266,0 days 00:00:00.000243,0.2926033594702348,2,256,128,0.20025829440650406,0.00020184682569697828,8,COMPLETE
10,inf,2025-10-16 22:08:12.056508,2025-10-16 22:08:12.059140,0 days 00:00:00.002632,0.1909960439796355,16,64,64,0.48854952235176874,0.0011529033541143078,3,COMPLETE
11,inf,2025-10-16 22:08:12.059438,2025-10-16 22:08:12.061942,0 days 00:00:00.002504,0.19346516199447092,4,256,32,0.0015795441951262923,0.0013893205882720245,8,COMPLETE
