순번,매장명,사업자번호,주소
56,라사천마라탕 성수점,5730302981,서울특별시 성동구 성덕정길 38 (성수동1가)1층
57,호식이두마리치킨 왕십리점,7123301492,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 212동, 401동(상가))1층 105호"
58,교촌치킨 응봉점,4886800457,"서울특별시 성동구 독서당로 398 (응봉동, 노선상가)3층 301호"
59,KFC 신금호점,2018189723,"서울특별시 성동구 무수막길 97 (금호동2가, 김약국)1층"
60,프레퍼스 왕십리점,1164900906,서울특별시 성동구 마조로 21 (행당동)2층
61,오운완 단백질다이어트,5200102867,"서울특별시 성동구 무학로 33 (하왕십리동, 텐즈힐 156동(상가))1층 101호"
62,달꿍 태국음식점,4227500488,"서울특별시 성동구 무학봉15가길 4 (하왕십리동, 무학유치원)1층"
63,고려삼계탕,8510802571,"서울특별시 성동구 행당로 87 (행당동, 행당동대림아파트 대림 리빙프라자)제리빙프라동 3층 343호"
64,두찜 성동성수점,5536300566,"서울특별시 성동구 성수일로8길 5 (성수동2가, 서울숲 SK V1 TOWER A동)105호"
65,미니탕후루,8034701228,서울특별시 성동구 연무장길 17 (성수동2가)1층
66,포케올데이&샐러드 행당점,6963601191,서울특별시 성동구 고산자로 194 (행당동)2층
67,백년보쌈,8510802571,"서울특별시 성동구 행당로 87 (행당동, 행당동대림아파트 대림 리빙프라자)제리빙프라동 3층 343호"
68,카페랏,4781900812,서울특별시 성동구 성수일로 10Cafe Lot
69,로봇배달 카페랏(CAFELOT),4781900812,서울특별시 성동구 성수일로 10Cafe Lot
70,채육식당 왕십리점,2076707058,"서울특별시 성동구 마장로 200 (홍익동, 김주형의원)제1호"
71,굽네치킨&피자 상왕십리역점,5255200885,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 L동)111호"
72,강씨 가문의족발 신금호점,3951502327,서울특별시 성동구 행당로 41 (금호동1가)1층
73,귀한족발 왕십리점,5543401398,"서울특별시 성동구 무학로2길 43 (도선동, 청암빌딩)1층"
74,소리벗고 고기질러 왕십리점,1112799116,서울특별시 성동구 마장로 209 (홍익동 )102호
75,토핑폭탄 김치찜&김치찌개 왕십리점,1112799116,서울특별시 성동구 마장로 209 (홍익동 )102호
76,1976갈비찜&김치찌개,2061985007,서울특별시 성동구 마조로 16 (사근동)2층
77,수북국밥&냉면 송정점,4875800678,서울특별시 성동구 동일로55길 3 (송정동)1층
78,기영이숯불두마리치킨 성동행당점,1362200922,서울특별시 성동구 행당로17길 21 (행당동)1층
79,땅스부대찌개 성수점,2820802421,서울특별시 성동구 상원길 58 (성수동1가)1층
80,둘둘치킨 금호사거리점,7943401230,서울특별시 성동구 금호로 58 (금호동1가)1층
81,젤리족발 성수점,4018571554,서울특별시 성동구 왕십리로 108 (성수동1가)1층 젤리족발
82,육회차 연어인생,2484301248,서울특별시 성동구 행당로17길 34 (행당동)1층 102호
83,탐나종합어시장 신금호역점,1580402213,서울특별시 성동구 행당로 1 (금호동1가)1층 101호
84,롯데리아 왕십리역사점,1068123498,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사)1층"
85,롯데리아 답십리점,1068123498,"서울특별시 성동구 천호대로 308 (용답동, 인암빌딩)1층,2층"
86,푸줏간 삼겹돼지고기배달 왕십리뉴타운점,6381101299,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 107동, A동)106호"
87,국대김치찜 왕십리점,2242861999,서울특별시 성동구 무학봉28길 4-1 (하왕십리동)지하1층 B01호
88,에그폭탄덮밥 왕십리점,2242861999,서울특별시 성동구 무학봉28길 4-1 (하왕십리동)지하1층 B01호
89,인생냉면 왕십리점,2242861999,서울특별시 성동구 무학봉28길 4-1 (하왕십리동)지하1층 B01호
90,원래는 치킨집을 할려고 했었다 왕십리점,2242861999,서울특별시 성동구 무학봉28길 4-1 (하왕십리동)지하1층 B01호
91,뚜레쥬르 왕십리민자역사점,2062931169,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사)4층"
92,푸라닭 옥수점,5054800899,서울특별시 성동구 독서당로 208 (옥수동)3층
93,풀리김밥 성수점,2191801928,"서울특별시 성동구 성수일로10길 26 (성수동2가, 하우스디세종타워 본동)상가동 1층 112호"
94,뽁밥 왕십리점,6622401948,"서울특별시 성동구 왕십리로20길 40 (홍익동, 비앤리베스텔)상가동 1층 101호"
95,OPTION 더빱&보끔밥,1180923442,서울특별시 성동구 마조로 11 (행당동)2층
96,OPTION 돈까스,1180923442,서울특별시 성동구 마조로 11 (행당동)2층
97,OPTION 도리아&스파게티,1180923442,서울특별시 성동구 마조로 11 (행당동)2층
98,BHC 응봉점,3692501764,"서울특별시 성동구 고산자로2길 10-7 (응봉동)1층 101호,102호"
99,슬로우캘리 뚝섬역점,2994100980,서울특별시 성동구 상원10길 4-1 (성수동1가)1층
100,와떠마라탕 왕십리점,8680602731,서울특별시 성동구 무학봉28길 4-1 (하왕십리동)지1층 B102호
101,전기품은닭,4082773738,서울특별시 성동구 행당로1길 7 (금호동1가)1층
102,BBQ 행당점,3700702658,서울특별시 성동구 무학봉길 53-1 (하왕십리동)1층
103,곱가&곱도리탕 왕십리점,8967400474,서울특별시 성동구 마장로 203-1 (홍익동)1층
104,냉면대첩&불고기 왕십리점,8967400474,서울특별시 성동구 마장로 203-1 (홍익동)1층
105,김치찜대장 왕십리점,8967400474,서울특별시 성동구 마장로 203-1 (홍익동)1층
106,영웅갈비찜 왕십리점,8967400474,서울특별시 성동구 마장로 203-1 (홍익동)1층
107,별사랑불고기 왕십리점,8967400474,서울특별시 성동구 마장로 203-1 (홍익동)1층
108,삼청동 김치찜,8730301223,서울특별시 성동구 고산자로8길 20 (행당제1동)1층 2호(행당동)
109,탕수육식,5910502343,"서울특별시 성동구 금호로 127 (금호동2가, 금호자이1차 상가동)지하2층13-1"
110,죽앤죽 금호점,5910502343,"서울특별시 성동구 금호로 127 (금호동2가, 금호자이1차 상가동)지하2층13-1"
111,지코바 금호1호점,1112799794,"서울특별시 성동구 난계로 32 (금호동1가, 성산빌딩)1층 102호"
112,가마로강정 왕십리텐즈힐점,4553101616,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 221동)1층 1134호"
113,소미담 성수점,1193301280,서울특별시 성동구 뚝섬로 427 (성수동2가)1층
114,핏자터틀스 성수,4542301447,서울특별시 성동구 성덕정길 139 (성수동2가)1층
115,아비꼬 성수점,6888502163,"서울특별시 성동구 연무장5가길 25 (성수동2가, 성수역 SK V1 Tower)1층 118호"
116,떡참 성동왕십리점,4526600492,"서울특별시 성동구 마장로 137 (상왕십리동, 텐즈힐 213동, 402동(상가))402동 116호"
117,수제탕수육 홍탕 성수점,6360602788,"서울특별시 성동구 성수일로12길 52 (성수동2가, 성수동롯데캐슬파크 상가동)1층 104호"
118,갱상도 파절이 대패삼겹,7384600971,서울특별시 성동구 마장로 203-1 (홍익동)1층
119,BBQ 금호중앙점,2216900526,서울특별시 성동구 무수막길 89-38 (금호동2가)1층
120,신선식탁 성수역점,2056200471,"서울특별시 성동구 연무장5가길 25 (성수동2가, 성수역 SK V1 Tower)1층 112호"
121,어술족,1470302763,서울특별시 성동구 무학봉길 88 (하왕십리동)1층
122,고피자 행당점,3888502282,"서울특별시 성동구 행당로 101 (행당동)1층 101, 102호"
123,왔따쪽갈비 왕십리점,2651601795,"서울특별시 성동구 무학로 33 (하왕십리동, 텐즈힐 155동(상가))1층 102호"
124,춘리마라탕 왕십리점,3720502932,"서울특별시 성동구 왕십리로24나길 20 (도선동, 창성빌딩)1층"
125,뚝 다이닝,7548502228,서울특별시 성동구 연무장9길 8-1 (성수동2가)1층
126,아비꼬 성수역점,6668502218,"서울특별시 성동구 연무장5가길 25 (성수동2가, 성수역 SK V1 Tower)1층 117호"
127,천사와악마버거,8614201011,서울특별시 성동구 용답중앙11길 16-1 (용답동)1층
128,오븐에빠진닭 성수점,5280300358,서울특별시 성동구 아차산로7길 8 (성수동2가)2층
129,풍조미역,1410802154,서울특별시 성동구 성수일로8길 60 (성수동2가)1층
130,형제보쌈,1642501475,"서울특별시 성동구 고산자로 177 (행당동, 서울숲행당푸르지오아파트 101동)상가동 1층 107호"
131,보배반점 성수점,7500402493,"서울특별시 성동구 성수이로7길 27 (성수동2가, 서울숲코오롱디지탈타워 2단지)106-A1호"
132,친구친구,2062828745,"서울특별시 성동구 무학로6길 50 (도선동, 성동삼성쉐르빌 101동)237-3호 지상2층"
133,뼈마니 마장감자탕,4510802615,"서울특별시 성동구 마장로35나길 40 (마장동, 덕수빌딩 가동)1층 107호"
134,컨티넨탈커피,1022891970,"서울특별시 성동구 용답23길 19 (용답동, 시온피아노학원)103호"
135,글루,3021054736,서울특별시 성동구 성덕정길 130 (성수동2가)1층
136,폭풍토핑 피자스톰,5454600869,서울특별시 성동구 광나루로11길 13 (송정동)1층
137,돌섬미역국 금호점,3302701488,서울특별시 성동구 장터길 38-1 (금호동4가)B3층
138,흰고래연어육회 금호점,3302701488,서울특별시 성동구 장터길 38-1 (금호동4가)B3층
139,치킨마루 왕십리센트라스점,4393601389,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 101동)H동 지층 101호"
140,사흘카레,6690401752,서울특별시 성동구 상원4길 4 (성수동1가)2층
141,밥풀릭스 왕십리점,3013563287,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 I동)아이동 1층 134호"
142,배스킨라빈스 성수역점,6792801435,서울특별시 성동구 아차산로7길 4 (성수동2가)1층
143,이태리키친 행당점,6340402982,서울특별시 성동구 무학로6길 33 (홍익동)2층 201호
144,선주냉면 왕십리본점,6340402982,서울특별시 성동구 무학로6길 33 (홍익동)2층 201호
145,홍대치즈불닭,7981400439,서울특별시 성동구 무학봉15길 26-1 (하왕십리동 )1층 3호
146,1980 밀면회관&냉면 금호점,1821801631,서울특별시 성동구 독서당로 276 (금호4가동)1층 102호 
147,오늘도 김치찜 금호점,1821801631,서울특별시 성동구 독서당로 276 (금호4가동)1층 102호 
148,트리플에이커피 신금호역점,8373801215,서울특별시 성동구 행당로 2 (금호동1가)1층
149,뚜레쥬르 금호힐스테이트점,1455900257,"서울특별시 성동구 금호로 40 (금호동4가, 힐스테이트서울숲리버 114동)상가동 4-5호"
150,개미식당,2471600162,서울특별시 성동구 왕십리로 375-1 (하왕십리동)
151,요고프로즌요거트 서울숲점,5102312303,"서울특별시 성동구 왕십리로 50 (성수동1가, 메가박스스퀘어)지1층"
152,매머드익스프레스 성수성원점,1720602509,"서울특별시 성동구 아차산로15길 10 (성수동2가, 성원상떼뷰오피스텔)116호"
153,교촌치킨 용답점,3366000806,서울특별시 성동구 용답중앙13길 6-1 (용답동)1층
154,돈경,2997700558,서울특별시 성동구 장터길 17-1 (금호동3가)1층
155,금남시장 이문닭발,1913000166,서울특별시 성동구 금호산2길 17-1 (금호동3가)1층
156,왕코등갈비,1913000166,서울특별시 성동구 금호산2길 17-1 (금호동3가)1층
157,노브랜드피자 테스트키친점,4278502286,"서울특별시 성동구 성수일로 56 (성수동2가, 성수동BY센터)1층 103호, 104호 TEST KITCHEN"
158,국민 묵은지 김치찌개,3022801345,서울특별시 성동구 동일로59길 4 (송정동)1층
159,본떡볶이,2250893083,서울특별시 성동구 용답중앙길 42 (용답동)1층
160,죽토피아,5923501460,서울특별시 성동구 용답중앙13길 6-3 (용답동)1층
161,정우의도시락 왕십리점,6033508313,서울특별시 성동구 마장로 202-8 (홍익동)2층
162,서울김치찜 왕십리점,6033508313,서울특별시 성동구 마장로 202-8 (홍익동)2층
