number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9625399184928541,2025-11-18 20:25:29.323029,2025-11-18 20:25:31.060106,0 days 00:00:01.737077,0.963866239647349,3.637511068066384,0.0011021317943592161,8,6.108822700012761,400,8.35143086757901,2.575069820550447,0.9513697401156165,COMPLETE
1,0.31816098403143867,2025-11-18 20:25:31.060819,2025-11-18 20:25:31.430667,0 days 00:00:00.369848,0.5007905087026354,0.4586176528699587,0.058630703197998346,3,8.085859320043012,200,9.334354805030204,1.3282615160093436,0.656549345262958,COMPLETE
2,0.30355583228991434,2025-11-18 20:25:31.431079,2025-11-18 20:25:31.787128,0 days 00:00:00.356049,0.6623883553066574,2.0123618797736915,0.08533455416648524,3,6.327373465955529,200,1.3632361607888,4.149819065039287,0.9039831496365098,COMPLETE
3,0.8897223331987154,2025-11-18 20:25:31.787511,2025-11-18 20:25:32.169923,0 days 00:00:00.382412,0.7791308907494372,1.3780717208784399,0.0029190755222375975,3,1.5333401921770577,200,0.017537728579652967,7.576936453703256,0.9006380273328634,COMPLETE
4,0.27490158487489613,2025-11-18 20:25:32.170296,2025-11-18 20:25:33.784039,0 days 00:00:01.613743,0.7695337916706739,4.558081010032153,0.01036557311147543,9,4.861477551609372,500,2.7379254351244278,2.64492412523348,0.5593436062816717,COMPLETE
5,0.2906114087977358,2025-11-18 20:25:33.784424,2025-11-18 20:25:34.251835,0 days 00:00:00.467411,0.6870571523353359,0.7353440285287466,0.14831737929381258,3,9.99525941367751,300,8.4186809073366,5.037366998480004,0.833494905721732,COMPLETE
6,0.2737566720027523,2025-11-18 20:25:34.252226,2025-11-18 20:25:34.523353,0 days 00:00:00.271127,0.8486946500747297,4.9797249669726975,0.1523084740075778,9,2.2205100219682867,150,4.513463329492703,5.870323668905649,0.677939140819912,COMPLETE
7,0.3012424994757709,2025-11-18 20:25:34.523746,2025-11-18 20:25:35.133523,0 days 00:00:00.609777,0.9138309893875762,3.9843265461110127,0.03697775900943725,4,5.820862573438484,350,8.452566976422297,5.895716888072555,0.5274243091471182,COMPLETE
8,0.2819819462759788,2025-11-18 20:25:35.133925,2025-11-18 20:25:35.724453,0 days 00:00:00.590528,0.9747954225245006,3.1222541664359778,0.1876765543063135,5,9.316162689800827,500,4.9013543636143435,4.243602114832386,0.956793704996691,COMPLETE
9,1.2296028602486169,2025-11-18 20:25:35.724859,2025-11-18 20:25:36.029621,0 days 00:00:00.304762,0.6413549508157177,4.442135596600282,0.0012354818768488657,3,5.1804397472464006,150,5.006642472190008,3.699512336386751,0.6702370566302579,COMPLETE
10,0.741763465615122,2025-11-18 20:25:36.030024,2025-11-18 20:25:36.342239,0 days 00:00:00.312215,0.8541169274781611,2.6111940560634475,0.015034462987869314,10,0.5694329387040575,50,5.481166856410875,9.233438570766307,0.7664001515485039,COMPLETE
11,0.27613420404884126,2025-11-18 20:25:36.342632,2025-11-18 20:25:37.939927,0 days 00:00:01.597295,0.8055261972374623,4.943188634232166,0.010440872826148643,9,3.356748611369463,500,2.78607732737659,0.6018022912170036,0.5121555948089195,COMPLETE
12,1.074565706575644,2025-11-18 20:25:37.940319,2025-11-18 20:25:38.166309,0 days 00:00:00.225990,0.8653743831512921,4.900044507540337,0.006400447466748883,7,3.3018143149237638,50,3.4746248240581536,6.293799605906446,0.6228478128180419,COMPLETE
13,0.2771096248749262,2025-11-18 20:25:38.166704,2025-11-18 20:25:39.076980,0 days 00:00:00.910276,0.7367799454419266,3.889470055454435,0.027608672016088198,10,3.588632811339031,400,6.320643957629729,2.259626202012966,0.5943633822199642,COMPLETE
14,0.8506184866247325,2025-11-18 20:25:39.077374,2025-11-18 20:25:39.540359,0 days 00:00:00.462985,0.8468238709939889,3.165585529376484,0.005884853328857863,8,1.9200226922648382,100,3.279068267323615,8.25898532769705,0.7225982603362846,COMPLETE
15,0.30119038288726024,2025-11-18 20:25:39.540730,2025-11-18 20:25:39.872550,0 days 00:00:00.331820,0.5923339492946986,4.403410091584818,0.25036480579296505,6,4.6538647082461075,250,1.7649611808480987,6.849634811760601,0.566111092108735,COMPLETE
16,0.2746881222853485,2025-11-18 20:25:39.872932,2025-11-18 20:25:40.700818,0 days 00:00:00.827886,0.7442022362146579,4.511739848925628,0.03602344296275917,9,7.3424829405398135,450,6.180456832481505,2.6859864724194513,0.7126367860725202,COMPLETE
17,0.27790835493708943,2025-11-18 20:25:40.701200,2025-11-18 20:25:41.153611,0 days 00:00:00.452411,0.7242686841439838,3.3339969103202938,0.10145815023760855,7,7.204749125929712,300,6.656456449493529,9.966545806265218,0.764000257866913,COMPLETE
18,0.25987684407297806,2025-11-18 20:25:41.154003,2025-11-18 20:25:42.007069,0 days 00:00:00.853066,0.8977635476109745,2.473768611611716,0.03696637515314868,9,8.091560824508296,400,6.833910102563828,5.067294898996584,0.7043137120119389,COMPLETE
19,0.260161506897564,2025-11-18 20:25:42.007456,2025-11-18 20:25:42.596961,0 days 00:00:00.589505,0.9129755566913659,2.3604811319929393,0.07284121454835576,8,8.611225439240258,350,7.286172596071668,5.466859602868965,0.8405853467145477,COMPLETE
20,0.2539410347219563,2025-11-18 20:25:42.597435,2025-11-18 20:25:43.237866,0 days 00:00:00.640431,0.998409762105585,2.0069633799756645,0.061271176606760444,8,8.585238855032628,350,7.641684957343654,4.983126497293157,0.8136214278591195,COMPLETE
