number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.2707643635057993,2025-11-04 18:59:20.234623,2025-11-04 18:59:21.042734,0 days 00:00:00.808111,0.9421996945021529,0.9984043166531115,0.04185437635917577,5,4.0852809806587524,400,8.231219983659756,5.636976625183344,0.7373931429957825,COMPLETE
1,0.6106638117299052,2025-11-04 18:59:21.043256,2025-11-04 18:59:21.266733,0 days 00:00:00.223477,0.6828499481935498,1.5148477685770534,0.020394943379928535,7,0.8708774190722101,50,0.9718218468962048,1.1297980121995321,0.6962253112368798,COMPLETE
2,0.339581092093781,2025-11-04 18:59:21.267126,2025-11-04 18:59:21.980796,0 days 00:00:00.713670,0.6628134597763202,4.118528626055255,0.014198754735804254,3,5.331492850991751,400,2.8919450412990058,4.79893319088719,0.5277863628432612,COMPLETE
3,0.22888646642451468,2025-11-04 18:59:21.981194,2025-11-04 18:59:24.276174,0 days 00:00:02.294980,0.7208651757475482,0.6369190802990005,0.011561368207391742,9,8.597363962836095,500,1.3265371221750066,3.9357211184081753,0.9387073175695009,COMPLETE
4,0.8256253357856986,2025-11-04 18:59:24.276587,2025-11-04 18:59:24.918197,0 days 00:00:00.641610,0.6035476875656468,1.996539408097508,0.0023963533189172532,3,4.105006398982741,300,9.866065514200614,2.6371274778618927,0.6321164846039542,COMPLETE
5,0.8230705761133427,2025-11-04 18:59:24.918604,2025-11-04 18:59:26.003683,0 days 00:00:01.085079,0.6223517697934632,4.988670655892081,0.0018804120313396107,6,7.917703686822334,350,3.6794683973177476,5.31417825331841,0.7519753589081954,COMPLETE
6,1.1564819000285689,2025-11-04 18:59:26.004091,2025-11-04 18:59:26.484786,0 days 00:00:00.480695,0.7592219265922013,1.1840024368062,0.0016050461857483598,6,7.140795798709461,150,3.6215639155091397,3.4977403266810736,0.6943282713424712,COMPLETE
7,0.2565379281305723,2025-11-04 18:59:26.485196,2025-11-04 18:59:27.275278,0 days 00:00:00.790082,0.9208181659202346,1.7791694753632,0.03811148086472738,7,7.764973673871673,350,5.202860535969459,0.07928360748129193,0.8055400891731974,COMPLETE
8,0.32266058560984523,2025-11-04 18:59:27.275691,2025-11-04 18:59:28.042186,0 days 00:00:00.766495,0.6486795602781928,2.8884066462057136,0.011588372740371377,6,7.639034871241533,250,7.161868694677983,3.5134561355438687,0.6312921756246473,COMPLETE
9,0.931064483546231,2025-11-04 18:59:28.042586,2025-11-04 18:59:28.439034,0 days 00:00:00.396448,0.9307571781192213,0.15410508478664098,0.0025694248595915584,3,3.6489127746009125,200,2.36042292681815,4.245374975538408,0.5518309493357927,COMPLETE
10,0.22169334100696994,2025-11-04 18:59:28.439431,2025-11-04 18:59:29.164092,0 days 00:00:00.724661,0.7771428260783125,0.2825423815268402,0.17049386536842248,10,9.465583638285606,500,0.07024808779144043,8.672077839819108,0.9792004714865445,COMPLETE
11,0.2249762731201142,2025-11-04 18:59:29.164496,2025-11-04 18:59:29.902393,0 days 00:00:00.737897,0.7892948293139628,0.07626172456665964,0.29239608655928884,10,9.667475699237432,500,0.40650198895347767,9.574790330604735,0.9854461478097021,COMPLETE
12,0.22082657863674998,2025-11-04 18:59:29.902799,2025-11-04 18:59:30.692383,0 days 00:00:00.789584,0.8142188207063422,0.04641539021655988,0.29992091236262464,10,9.99964877787879,500,0.05240910346616795,9.705166278726365,0.9995110103069008,COMPLETE
13,0.2520586133033451,2025-11-04 18:59:30.692796,2025-11-04 18:59:31.313387,0 days 00:00:00.620591,0.8373080685706968,3.0787698792697515,0.16385991330197947,9,9.82912294355892,500,0.08039853758257237,9.598404820505872,0.8825726292514455,COMPLETE
14,0.2482227542933133,2025-11-04 18:59:31.313781,2025-11-04 18:59:32.087845,0 days 00:00:00.774064,0.5267080984346524,0.5772188734027905,0.10493522666375289,10,6.197240732181612,450,5.45557249413025,7.734583325575122,0.8938564273489654,COMPLETE
