number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.2586843746694196,2025-10-24 00:51:53.814671,2025-10-24 00:51:54.022101,0 days 00:00:00.207430,0.888952686931381,2.0879357522814206,0.26614934693892295,7,0.9852106344880497,100,0.03971812556974874,5.008123334256637,0.8418139527636901,COMPLETE
1,0.6000185387449424,2025-10-24 00:51:54.022603,2025-10-24 00:51:54.251286,0 days 00:00:00.228683,0.8131823662260838,2.258772400440261,0.02056582097293609,7,2.6528166546022125,50,3.188454274490977,2.4990019851369594,0.9487719721407684,COMPLETE
2,0.26537351764816575,2025-10-24 00:51:54.251705,2025-10-24 00:51:54.989027,0 days 00:00:00.737322,0.6471907500580056,0.8467776222033263,0.042831790246105894,6,7.161946500661308,300,4.314831457156703,7.921893343874222,0.7155580351624168,COMPLETE
3,0.7393798324285159,2025-10-24 00:51:54.989414,2025-10-24 00:51:55.798929,0 days 00:00:00.809515,0.6663429985283691,3.732758605613534,0.0019458207587575692,3,8.006600645837509,450,5.784575308928303,8.222342088250688,0.7664809328063743,COMPLETE
4,0.2925541550885127,2025-10-24 00:51:55.799343,2025-10-24 00:51:56.162596,0 days 00:00:00.363253,0.5851851545433027,4.223040560034263,0.07429171180661838,9,6.940357711073227,150,5.928446361066414,6.739717559066777,0.5202798329106818,COMPLETE
5,0.2878125461408514,2025-10-24 00:51:56.163002,2025-10-24 00:51:56.458187,0 days 00:00:00.295185,0.894719041337094,3.7942335656338293,0.16212462098384406,5,4.2034263220910315,200,7.705743579465381,4.142612503016606,0.9536042479085954,COMPLETE
6,0.6202676425348189,2025-10-24 00:51:56.458600,2025-10-24 00:51:57.600824,0 days 00:00:01.142224,0.9147657734885115,0.6894446888522809,0.0048878798077053665,10,9.89732353354812,200,8.130077394225662,2.8933497017197087,0.7348288147011819,COMPLETE
7,0.28862129511629914,2025-10-24 00:51:57.601233,2025-10-24 00:51:58.065243,0 days 00:00:00.464010,0.8819367373381917,3.8949822715345976,0.29479872362338305,5,9.245613089948236,400,0.8805245117925586,1.904520100488335,0.914092139276385,COMPLETE
8,0.3554211259735837,2025-10-24 00:51:58.065638,2025-10-24 00:51:59.604625,0 days 00:00:01.538987,0.6792027440963055,0.060209241916705514,0.006881646209568957,10,9.691459383220238,300,9.005976702004032,3.5727124442132387,0.5765673513993019,COMPLETE
9,0.27918840182559884,2025-10-24 00:51:59.605030,2025-10-24 00:52:00.264945,0 days 00:00:00.659915,0.8981765380676481,3.2148346634075633,0.021531493117908355,9,8.130857845140943,150,4.193648001271269,3.598899735223695,0.6806622221655014,COMPLETE
