number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5320085701150381,2025-11-19 00:00:30.086193,2025-11-19 00:00:30.743196,0 days 00:00:00.657003,0.721893199944829,0.24003346443981943,0.11397315011054084,5,7.615675259057405,250,9.523391509381812,1.4936165907447418,0.9331051873833698,COMPLETE
1,0.7782787617269532,2025-11-19 00:00:30.743700,2025-11-19 00:00:31.148703,0 days 00:00:00.405003,0.6493414414265014,3.8809136907013135,0.009223446157128229,7,4.69118773782798,100,7.667968715161705,5.339910751775966,0.5525500150964302,COMPLETE
2,0.5328595716167511,2025-11-19 00:00:31.149108,2025-11-19 00:00:31.549023,0 days 00:00:00.399915,0.7000154226103381,2.9805315505734415,0.10902462207220678,9,0.6069500817404025,150,3.782377052735262,2.300972239395298,0.6948418826197181,COMPLETE
3,0.5334204218315584,2025-11-19 00:00:31.549418,2025-11-19 00:00:32.436147,0 days 00:00:00.886729,0.7764900195137749,2.774439896855005,0.05327992416839386,9,8.676122886898005,400,6.482773272925483,9.52695483078975,0.6996483555854092,COMPLETE
4,0.5319554999312553,2025-11-19 00:00:32.436546,2025-11-19 00:00:33.344849,0 days 00:00:00.908303,0.5712162692407576,1.973074019272834,0.03989367652061015,7,1.4496629898377813,400,9.218921113075933,4.594119306570378,0.8714252394792229,COMPLETE
5,0.5390722441988965,2025-11-19 00:00:33.345263,2025-11-19 00:00:34.316644,0 days 00:00:00.971381,0.5847070748495664,4.76663445618234,0.024921705112195963,5,1.2610930736532289,500,3.70740623499913,0.29941359630521136,0.8480035833611075,COMPLETE
6,0.5339566119919977,2025-11-19 00:00:34.317025,2025-11-19 00:00:35.209373,0 days 00:00:00.892348,0.7180029245554731,2.095109245256409,0.03746089666566946,6,1.3399370329263123,350,4.910466440011038,2.583684378144626,0.6039524473791003,COMPLETE
7,0.5992239180420205,2025-11-19 00:00:35.209750,2025-11-19 00:00:36.162332,0 days 00:00:00.952582,0.5871088057791847,0.7546603514074701,0.005853262839186965,5,4.396962623046177,350,4.675547110721051,5.055312549611111,0.5092492647257213,COMPLETE
8,1.1403526202135423,2025-11-19 00:00:36.162733,2025-11-19 00:00:37.465865,0 days 00:00:01.303132,0.5932531511021625,0.35077870072742157,0.0010815232418752295,9,5.671260161159625,250,6.631604044612853,2.915001770394259,0.685300949011531,COMPLETE
9,0.5368162228936417,2025-11-19 00:00:37.466258,2025-11-19 00:00:38.514963,0 days 00:00:01.048705,0.939944455984717,3.6670528815382935,0.026153799929586212,7,4.210789045499996,400,8.13510591444113,1.2072215162165079,0.8747392353029295,COMPLETE
10,0.6981184703920282,2025-11-19 00:00:38.515368,2025-11-19 00:00:39.435302,0 days 00:00:00.919934,0.8441557623522075,1.7760768598388288,0.0028231674894155126,3,2.8300115950377176,500,0.5349138668164795,7.39946272639402,0.999515869140267,COMPLETE
11,0.5387804373920159,2025-11-19 00:00:39.435701,2025-11-19 00:00:39.829486,0 days 00:00:00.393785,0.5235663902399262,1.1931096423769456,0.2999218486561814,3,7.899374642188183,250,9.468314988630452,3.8604195385635176,0.9140278160413856,COMPLETE
12,0.5325286463833172,2025-11-19 00:00:39.829877,2025-11-19 00:00:40.353202,0 days 00:00:00.523325,0.8106254211786414,0.0773468290256139,0.12764506265304623,5,6.90083539926348,200,9.687871684595281,6.359742395138458,0.8122643341107618,COMPLETE
