number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9812770414574684,2025-10-23 20:19:24.795389,2025-10-23 20:19:26.456003,0 days 00:00:01.660614,0.885440469137827,0.929970551201944,0.0014047742869111915,10,9.594692500699425,300,3.915677690538236,8.820039873760745,0.6235245139540404,COMPLETE
1,0.26853064689537426,2025-10-23 20:19:26.456497,2025-10-23 20:19:27.260131,0 days 00:00:00.803634,0.5941171265103327,0.41634024570358474,0.1555610128398673,4,4.288419466440931,500,4.759099065082105,4.008003362878631,0.6788613048808466,COMPLETE
2,0.3037257543549608,2025-10-23 20:19:27.260538,2025-10-23 20:19:27.744681,0 days 00:00:00.484143,0.6503114013398309,0.06114465834631211,0.021260643634782028,6,5.272116827283237,150,1.6435071145701996,3.994977345078503,0.9952996960351128,COMPLETE
3,0.29861123186054794,2025-10-23 20:19:27.745087,2025-10-23 20:19:27.994444,0 days 00:00:00.249357,0.5069473271243896,2.251945434844428,0.2685271130050128,5,2.4986875418887937,150,7.00358918823813,4.3807566929961315,0.6201005848947918,COMPLETE
4,0.2585956210388537,2025-10-23 20:19:27.994847,2025-10-23 20:19:28.158418,0 days 00:00:00.163571,0.6781814198158397,2.0359567835581722,0.28311802642622447,9,2.0937400496261547,50,0.39264407829028514,5.648407406619609,0.9731250634143147,COMPLETE
5,0.6741355747445308,2025-10-23 20:19:28.158780,2025-10-23 20:19:29.341375,0 days 00:00:01.182595,0.7795295300010769,0.398196966760187,0.0020638482850438575,5,5.937572580114689,450,8.263154633096795,4.404999195423396,0.5592881603580633,COMPLETE
6,0.6274795698738362,2025-10-23 20:19:29.341794,2025-10-23 20:19:29.741618,0 days 00:00:00.399824,0.6379265023694454,0.08254516711589166,0.009978332229486297,7,1.7060664068714786,100,6.2906158410287585,3.4683260245118586,0.8822998767099188,COMPLETE
7,0.259943291848392,2025-10-23 20:19:29.742025,2025-10-23 20:19:30.138752,0 days 00:00:00.396727,0.6036047767145272,1.3032362481398363,0.09210492340156398,8,9.16449239030748,150,6.017655929767228,0.29079385076151043,0.92394737889384,COMPLETE
8,0.38439137028515336,2025-10-23 20:19:30.139151,2025-10-23 20:19:30.962487,0 days 00:00:00.823336,0.7701919198598148,2.504524466050611,0.009291580673313463,8,1.1240926561147178,200,5.582248612347378,7.470164779613425,0.5567897047676884,COMPLETE
9,0.6064133935167009,2025-10-23 20:19:30.962896,2025-10-23 20:19:32.604146,0 days 00:00:01.641250,0.7433870898397392,3.1328934550320415,0.0029178134313289006,9,2.5239381682234128,350,8.09421076441175,0.5328988021742875,0.8376434726373179,COMPLETE
10,0.3036918756813907,2025-10-23 20:19:32.604561,2025-10-23 20:19:32.895835,0 days 00:00:00.291274,0.9799895880342313,4.714260285967132,0.04815344686432397,10,7.527539407696026,50,0.3825265977591011,6.9398327860331595,0.7649255977217435,COMPLETE
11,0.26910716708412175,2025-10-23 20:19:32.896250,2025-10-23 20:19:33.133724,0 days 00:00:00.237474,0.5410612137884576,1.6861175286654673,0.10376100339494622,8,8.558811393944735,50,3.4507340563900533,0.21728610612178478,0.9907518961979582,COMPLETE
12,0.2609511263367494,2025-10-23 20:19:33.134152,2025-10-23 20:19:33.640129,0 days 00:00:00.505977,0.6968934006611658,1.4481155563806,0.06592866335110678,8,3.8238207746563715,200,9.889278444251529,2.036729424665063,0.8970190332723876,COMPLETE
13,0.2723772474163834,2025-10-23 20:19:33.640534,2025-10-23 20:19:33.803871,0 days 00:00:00.163337,0.5822152833418529,3.0554652469606696,0.26043484467341865,9,6.900990724147435,50,2.3473498107451762,6.411520687507877,0.9218740504969712,COMPLETE
14,0.2722237624573006,2025-10-23 20:19:33.804277,2025-10-23 20:19:34.372501,0 days 00:00:00.568224,0.6979119591028524,3.9220770150768343,0.04214099748834593,7,9.75331860440539,250,0.19323792746023033,5.724411779259947,0.7924052892094392,COMPLETE
15,0.24990193112433573,2025-10-23 20:19:34.372899,2025-10-23 20:19:34.713666,0 days 00:00:00.340767,0.6309840517863451,1.5252103705632456,0.13485692848050562,9,0.5075071252028267,150,2.1787294727294366,2.38141918640498,0.9432178595604567,COMPLETE
16,0.24349192840888448,2025-10-23 20:19:34.714065,2025-10-23 20:19:34.975208,0 days 00:00:00.261143,0.8483118608864896,2.346071876399359,0.1633063557995025,10,0.5258192684034451,100,1.9341603742177027,2.337571565406135,0.9530165063999533,COMPLETE
17,0.2487958803349253,2025-10-23 20:19:34.975625,2025-10-23 20:19:35.901813,0 days 00:00:00.926188,0.861240659526307,2.9486248055781736,0.026155223127359826,10,0.7791790181242355,250,2.11102612627666,2.322421976062782,0.8120450346765714,COMPLETE
18,0.310431212952743,2025-10-23 20:19:35.902212,2025-10-23 20:19:36.539697,0 days 00:00:00.637485,0.847031136993959,3.0285212495894394,0.027416567390594556,3,3.6469223480592556,350,3.2111221050873757,2.031967913414624,0.8368513647459317,COMPLETE
19,0.32028812222640857,2025-10-23 20:19:36.540113,2025-10-23 20:19:38.599524,0 days 00:00:02.059411,0.9156044230731832,3.8446446577587747,0.005390860350518797,10,0.9709009813825276,400,1.2824742551621684,2.5745504593929986,0.7428101210244322,COMPLETE
20,0.29026994602740636,2025-10-23 20:19:38.599937,2025-10-23 20:19:39.621437,0 days 00:00:01.021500,0.8287434746827744,2.640316544781504,0.012915909748763794,10,2.9864835669591927,200,4.469074722634853,1.2694913245878419,0.8311380377030448,COMPLETE
21,0.25239497630285673,2025-10-23 20:19:39.621834,2025-10-23 20:19:40.044091,0 days 00:00:00.422257,0.9455044547665743,3.6565210751258412,0.12711863339763424,9,0.5252201728490808,250,2.4774907308580563,2.986024772145409,0.9451283282372089,COMPLETE
22,0.25456344941765524,2025-10-23 20:19:40.044496,2025-10-23 20:19:40.590540,0 days 00:00:00.546044,0.8341681709401791,1.9419391306359062,0.0336474673535976,10,1.4599914361910873,100,1.5623876148324953,1.5161363492782747,0.7123216427816412,COMPLETE
23,0.25106096147384427,2025-10-23 20:19:40.590959,2025-10-23 20:19:41.033431,0 days 00:00:00.442472,0.8646826932134422,2.73544223544166,0.15960493632014425,9,0.6759113217018557,300,2.553457028087051,2.9695606563587216,0.8796413927360355,COMPLETE
24,0.22294053951819012,2025-10-23 20:19:41.033858,2025-10-23 20:19:41.553826,0 days 00:00:00.519968,0.8114178590942702,0.9495821343431101,0.06624785189905615,10,1.5817863566500296,100,1.104355721009772,1.639948797697688,0.952763509777544,COMPLETE
25,0.2578447350665934,2025-10-23 20:19:41.554234,2025-10-23 20:19:41.954331,0 days 00:00:00.400097,0.8053057507977154,4.463109856984023,0.057317280978844566,10,3.008541564247586,100,0.9088735321862063,1.1962942791817293,0.8014657139811121,COMPLETE
26,0.24915915138309327,2025-10-23 20:19:41.954743,2025-10-23 20:19:42.333524,0 days 00:00:00.378781,0.9025275569800895,0.9195948117025998,0.07484295565631666,7,1.7580441012662251,100,3.166079961195253,9.991645397748727,0.8666236705931736,COMPLETE
27,0.22999758160656902,2025-10-23 20:19:42.333924,2025-10-23 20:19:43.687223,0 days 00:00:01.353299,0.7274159652510148,1.0323133730362875,0.01831824113959545,10,1.3907857434796624,250,1.0514273669019245,0.9099005718413264,0.9557921215711416,COMPLETE
28,0.4915880761401406,2025-10-23 20:19:43.687640,2025-10-23 20:19:44.626786,0 days 00:00:00.939146,0.7582181697840107,0.9968814416006049,0.0064441519545905815,8,4.500246564527857,200,0.9923484631254119,0.9363963955386487,0.9651922822614978,COMPLETE
