number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.0,2025-10-16 19:41:01.691639,2025-10-16 19:41:02.263255,0 days 00:00:00.571616,0.6685280302313358,3.5121080937745033,0.0028164810489206132,5,4.8270088016901145,500,7.038695065936167,9.073132570673382,0.5493977955121825,COMPLETE
1,0.0,2025-10-16 19:41:02.263711,2025-10-16 19:41:02.664566,0 days 00:00:00.400855,0.5109675504279949,2.14005467437264,0.004100766586454974,6,8.875112751936038,350,9.880350881212637,3.5133726641138088,0.6538310892128067,COMPLETE
2,0.0,2025-10-16 19:41:02.664878,2025-10-16 19:41:03.108278,0 days 00:00:00.443400,0.6045597500691733,4.1553338910076505,0.024404313801795783,3,1.5710326444574791,400,3.4003302240807765,8.153624201075585,0.8870225867762492,COMPLETE
3,0.0,2025-10-16 19:41:03.108568,2025-10-16 19:41:03.455490,0 days 00:00:00.346922,0.6874848543367497,2.4288095671493117,0.03159064516148113,8,7.7627653094106766,300,1.5644849559269358,9.652964942718734,0.7771509468351276,COMPLETE
4,0.0,2025-10-16 19:41:03.455776,2025-10-16 19:41:03.594005,0 days 00:00:00.138229,0.5442140127231074,3.906669987581254,0.17686548310874017,8,0.522718266717483,100,2.060904524645244,1.539109389635881,0.9704117222325803,COMPLETE
5,0.0,2025-10-16 19:41:03.594310,2025-10-16 19:41:03.842788,0 days 00:00:00.248478,0.7222443515505148,4.175818348064268,0.06331702566681335,4,0.8553989838583385,200,5.141232246799824,8.568976364381955,0.582435248537678,COMPLETE
6,0.0,2025-10-16 19:41:03.843087,2025-10-16 19:41:04.286103,0 days 00:00:00.443016,0.7932275837797111,3.7384985730104985,0.0074459055750610206,9,6.795431142958222,400,6.783509018636393,2.2002819588114066,0.8488416662710715,COMPLETE
7,0.0,2025-10-16 19:41:04.286378,2025-10-16 19:41:04.481432,0 days 00:00:00.195054,0.788082256243299,0.1476638568503813,0.17942465679989777,3,6.063041645905828,150,3.127120466513361,8.447017291855623,0.609461526274653,COMPLETE
8,0.0,2025-10-16 19:41:04.481743,2025-10-16 19:41:04.940910,0 days 00:00:00.459167,0.8810905353889535,3.0254114639160785,0.003924734634088892,6,8.499643764734076,400,0.4595632410439887,4.4134840209206905,0.5900892314055196,COMPLETE
9,0.0,2025-10-16 19:41:04.941207,2025-10-16 19:41:05.284187,0 days 00:00:00.342980,0.586988693757042,1.132362740025853,0.00787218689095165,3,4.942805786554807,300,0.1068510913251719,5.648620325783665,0.83090172301619,COMPLETE
