number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5383795305146398,2025-10-16 20:50:32.983607,2025-10-16 20:50:33.385825,0 days 00:00:00.402218,0.5790967539121936,0.7543657591211111,0.06072388670285229,5,5.130035527206118,150,6.949883535239811,8.338509497511811,0.8799777518499996,COMPLETE
1,0.5446425608501038,2025-10-16 20:50:33.386379,2025-10-16 20:50:34.523047,0 days 00:00:01.136668,0.9683071453748934,2.374021709228214,0.014299698145978342,5,7.120967016636259,450,3.9936035885416254,9.361260910939155,0.912701185726159,COMPLETE
2,0.5674824977552928,2025-10-16 20:50:34.523463,2025-10-16 20:50:36.237905,0 days 00:00:01.714442,0.8836303336802807,3.1006080765548507,0.005582409626560764,7,7.96292227420404,450,8.081201594744394,7.130961833464231,0.5109756352272166,COMPLETE
3,0.5417166676347697,2025-10-16 20:50:36.238300,2025-10-16 20:50:36.658113,0 days 00:00:00.419813,0.8904030886634089,3.672638792283838,0.05281329393765731,5,6.136298051839508,150,7.367915972717474,4.677116229101821,0.987145212263706,COMPLETE
4,0.5360703734826651,2025-10-16 20:50:36.658530,2025-10-16 20:50:37.312719,0 days 00:00:00.654189,0.8700789330579175,0.18866596133259972,0.031268781678931136,6,9.014109322850983,200,4.7250449448645115,0.45280460851249593,0.5475638901432074,COMPLETE
5,0.5433048474519175,2025-10-16 20:50:37.313129,2025-10-16 20:50:37.787339,0 days 00:00:00.474210,0.9843910569392127,1.5137649227436412,0.08530166835947421,3,9.349334819312055,250,2.170618058798212,3.765685696175943,0.6577732464435772,COMPLETE
6,0.5667079085648038,2025-10-16 20:50:37.787734,2025-10-16 20:50:39.165324,0 days 00:00:01.377590,0.6542923767104611,2.1791859074992086,0.01383170878242921,3,6.779860799377847,450,5.052214223256146,4.938194803480197,0.6252648702814193,COMPLETE
7,0.6102198816212866,2025-10-16 20:50:39.165723,2025-10-16 20:50:39.835968,0 days 00:00:00.670245,0.9177879475606541,0.6419774987007038,0.011939792391159366,6,1.889778423085474,150,4.163418432179551,2.0741226677881164,0.9239780267259804,COMPLETE
8,0.542430594201092,2025-10-16 20:50:39.836384,2025-10-16 20:50:40.593897,0 days 00:00:00.757513,0.6828089565476515,3.3115707295232943,0.02332802355514032,6,6.07138033122094,200,6.454200955022268,6.08093359149167,0.5714771403297652,COMPLETE
9,0.5354169663970412,2025-10-16 20:50:40.594318,2025-10-16 20:50:41.151171,0 days 00:00:00.556853,0.5234116282061245,4.177693085957051,0.0635430385296368,7,8.988301351372062,200,6.469558654418099,0.19742999242324477,0.7241973258888461,COMPLETE
10,0.5502140932804551,2025-10-16 20:50:41.151578,2025-10-16 20:50:41.362263,0 days 00:00:00.210685,0.5128106983580809,4.758172339507994,0.2039442306246417,10,3.9069137346897707,50,9.820832624235774,0.028811468603110235,0.7721128933498725,COMPLETE
11,0.7022707023384482,2025-10-16 20:50:41.362689,2025-10-16 20:50:43.432273,0 days 00:00:02.069584,0.8026361273849673,4.902517285759723,0.00320717127200567,8,9.83178576792056,350,0.7712783257008322,0.10704680399073357,0.7493433278641336,COMPLETE
12,0.5691800679266443,2025-10-16 20:50:43.432754,2025-10-16 20:50:44.793891,0 days 00:00:01.361137,0.7876314090406883,0.2132846523240856,0.2830851067775466,8,8.40650221213016,300,5.413234063175111,1.9664839759690347,0.7146880480803557,COMPLETE
13,0.6067327463114772,2025-10-16 20:50:44.794309,2025-10-16 20:50:45.080206,0 days 00:00:00.285897,0.7043726910406964,4.100152157470449,0.034171937827079585,9,8.69930534011642,50,2.8495868393064026,1.9296904862042377,0.5023930821812873,COMPLETE
14,0.5339050249797755,2025-10-16 20:50:45.080685,2025-10-16 20:50:45.714214,0 days 00:00:00.633529,0.8303706947985725,1.5596786219653587,0.11186109378412104,7,4.3748682042788785,350,9.155596442938021,3.0921241448590164,0.8065747728302494,COMPLETE
15,0.5317967276386496,2025-10-16 20:50:45.714623,2025-10-16 20:50:46.302975,0 days 00:00:00.588352,0.6088290449280527,1.567124817072367,0.14449360985218784,8,2.9986694042679165,350,9.591287044242687,3.266926842447803,0.8231425869112822,COMPLETE
16,0.5332914459447695,2025-10-16 20:50:46.303405,2025-10-16 20:50:46.912796,0 days 00:00:00.609391,0.6154254765419448,1.5577756954282678,0.13263777738213386,9,2.446322336891117,350,9.793918461537242,3.3986016194848876,0.8243485351643514,COMPLETE
17,0.5400779813284329,2025-10-16 20:50:46.913203,2025-10-16 20:50:47.585897,0 days 00:00:00.672694,0.6077059017876404,1.5453372685863391,0.13713547164374515,10,0.5296832038182706,400,8.620347088862005,6.359881523519498,0.8367151233695025,COMPLETE
18,0.8687584349973508,2025-10-16 20:50:47.586309,2025-10-16 20:50:50.162237,0 days 00:00:02.575928,0.5924399690433978,2.0296999379544043,0.001426512277260575,9,2.7548619209405927,500,9.479960138581426,3.695032013850321,0.8517293173670536,COMPLETE
19,0.5384799031836639,2025-10-16 20:50:50.162667,2025-10-16 20:50:50.710613,0 days 00:00:00.547946,0.7502061060393748,1.0977843558281686,0.1626484604821588,9,2.6246406235787108,300,8.03387097879274,2.8944748760119694,0.9721351864261942,COMPLETE
20,0.5438327567704453,2025-10-16 20:50:50.711028,2025-10-16 20:50:51.191348,0 days 00:00:00.480320,0.6326037617226743,2.6435502478973874,0.27591719925459934,8,1.2456459381784901,350,9.948064306180683,4.443506490359012,0.8054616671328353,COMPLETE
21,0.5343157461580321,2025-10-16 20:50:51.191759,2025-10-16 20:50:51.837516,0 days 00:00:00.645757,0.725673303914061,1.6420635851678376,0.11003567691953263,8,4.159277779978502,350,9.021777919438723,2.9729994758490803,0.8001223092267777,COMPLETE
22,0.5309768584023316,2025-10-16 20:50:51.837926,2025-10-16 20:50:52.696052,0 days 00:00:00.858126,0.8200151796269943,1.1627714295702576,0.11754251618343768,7,3.8778317415057795,400,8.635648900322805,1.3507515977637767,0.684900612417354,COMPLETE
23,0.5336527071413187,2025-10-16 20:50:52.696461,2025-10-16 20:50:54.067591,0 days 00:00:01.371130,0.7642281246241232,1.1077432710105937,0.0413856922069518,9,3.2284799139996583,400,7.992660791099085,1.3553288295491202,0.6409496598021533,COMPLETE
24,0.5389573747521704,2025-10-16 20:50:54.067996,2025-10-16 20:50:55.077876,0 days 00:00:01.009880,0.5571983748317908,1.0530913443044208,0.08869386103728341,10,1.9220088317278123,400,8.801784910789632,1.34969945805345,0.6779963138994681,COMPLETE
25,0.5340065783420114,2025-10-16 20:50:55.078284,2025-10-16 20:50:55.808039,0 days 00:00:00.729755,0.6713486448375884,1.9267461507469674,0.181627441294882,8,3.4186049680778035,500,9.932289922498548,5.569388992447667,0.7135975078606773,COMPLETE
26,0.5514120028235363,2025-10-16 20:50:55.808443,2025-10-16 20:50:56.389827,0 days 00:00:00.581384,0.8393814601672542,0.6616494022061558,0.2976094299666113,7,4.977815510072645,300,7.5810297505063255,3.924165241496049,0.8722622982510978,COMPLETE
27,0.5329993625859071,2025-10-16 20:50:56.390244,2025-10-16 20:50:56.992825,0 days 00:00:00.602581,0.6321467426682101,2.764738111155126,0.07095753294049387,9,2.1069780516810104,250,5.911773150961965,2.5208581506721073,0.7676298455816376,COMPLETE
28,0.540263474180278,2025-10-16 20:50:56.993239,2025-10-16 20:50:57.476505,0 days 00:00:00.483266,0.7182771987673753,2.83736060938093,0.07919434939021598,4,1.3156975224685081,250,5.933527255293415,1.1652882286777395,0.7612328507460763,COMPLETE
29,0.532965828443166,2025-10-16 20:50:57.476909,2025-10-16 20:50:58.127322,0 days 00:00:00.650413,0.5504346142967897,2.4839710049571337,0.05226243326761868,7,4.790938358433214,250,7.062969223289079,2.4972378235026906,0.6025058145736448,COMPLETE
30,0.533399246790779,2025-10-16 20:50:58.127742,2025-10-16 20:50:58.969406,0 days 00:00:00.841664,0.5628654501342285,2.2722770779693753,0.04810826367735045,6,5.366848467879985,400,6.960020307874536,0.9888673663701794,0.5998707876714009,COMPLETE
31,0.5352565927105437,2025-10-16 20:50:58.969821,2025-10-16 20:50:59.508873,0 days 00:00:00.539052,0.5371459831013164,2.723028609926255,0.07576486073461552,7,4.92757546628564,250,6.420652716992876,2.3656463323243218,0.6666893854234652,COMPLETE
32,0.5365401671324939,2025-10-16 20:50:59.509288,2025-10-16 20:51:00.626545,0 days 00:00:01.117257,0.5741690034421929,3.105199359158574,0.019224551349354076,8,3.6941010225913935,300,8.560409862316995,2.5634413341942257,0.6895404858706247,COMPLETE
33,0.5366214944491933,2025-10-16 20:51:00.626962,2025-10-16 20:51:01.462572,0 days 00:00:00.835610,0.5486637792380721,1.8885219942522173,0.030066228492044367,7,3.16578767322233,250,7.352608921568355,4.190368379508464,0.5981032078632336,COMPLETE
34,0.539926592717638,2025-10-16 20:51:01.462985,2025-10-16 20:51:02.178848,0 days 00:00:00.715863,0.6400111544616655,3.542133035154742,0.05676967244465416,5,4.771143005164084,450,5.78283287125058,8.129969232688206,0.9020144754213175,COMPLETE
35,0.5894534227028624,2025-10-16 20:51:02.179261,2025-10-16 20:51:03.026797,0 days 00:00:00.847536,0.5011914845648484,2.3557633250822154,0.010130814894132993,8,5.604170277533455,200,8.016029328365766,1.776166348291999,0.7412814037754782,COMPLETE
36,0.5400233219713184,2025-10-16 20:51:03.027209,2025-10-16 20:51:03.291094,0 days 00:00:00.263885,0.937949820177125,2.516303682512766,0.18566215752080878,7,2.0610528076641907,100,7.104736446501418,0.7363282947951032,0.6185694534293428,COMPLETE
37,0.5657825114195407,2025-10-16 20:51:03.291522,2025-10-16 20:51:04.235427,0 days 00:00:00.943905,0.5911852124375615,1.2335780839006378,0.00852054416952209,6,4.356214821634422,300,3.330333251925758,2.403229555292225,0.5468725357645671,COMPLETE
38,0.5345193791696871,2025-10-16 20:51:04.235835,2025-10-16 20:51:04.619754,0 days 00:00:00.383919,0.6837622025178572,2.9325420332584757,0.10955677464918533,9,2.944379444082221,150,8.27908630872094,3.2389583536381363,0.7752750427127547,COMPLETE
39,0.5407947164668047,2025-10-16 20:51:04.620175,2025-10-16 20:51:05.283200,0 days 00:00:00.663025,0.8548656265696796,0.5102031441277731,0.0245843463884925,6,6.317216647440908,200,4.237016751433148,5.133246010357674,0.6898523311962488,COMPLETE
40,0.5316774296758153,2025-10-16 20:51:05.283630,2025-10-16 20:51:06.400897,0 days 00:00:01.117267,0.6591071241115548,0.9010520578906451,0.039031896140566257,5,7.1760072750457855,450,7.612471856951463,1.46852521155778,0.5376751628886438,COMPLETE
41,0.5299369156963109,2025-10-16 20:51:06.401312,2025-10-16 20:51:07.518031,0 days 00:00:01.116719,0.6529628992772734,0.8822533339687401,0.03935011958785608,5,7.258073147854927,450,7.669595190887582,1.6013411548779066,0.5465871001402468,COMPLETE
42,0.5351531827761759,2025-10-16 20:51:07.518433,2025-10-16 20:51:08.473350,0 days 00:00:00.954917,0.6594788454531894,0.8170157348920151,0.04054702514182249,4,7.50641829779703,450,7.602436028499071,1.5192479445475962,0.5335498723251441,COMPLETE
43,0.531094648635667,2025-10-16 20:51:08.473761,2025-10-16 20:51:09.576833,0 days 00:00:01.103072,0.7054140426710385,1.3265119671823504,0.05352432362358778,5,7.0061437991436515,500,9.256686426706485,0.6185323909553667,0.5790133884532425,COMPLETE
44,0.5393550248477541,2025-10-16 20:51:09.577253,2025-10-16 20:51:10.730268,0 days 00:00:01.153015,0.7065929596451312,0.34345843933946196,0.017743344716779262,5,7.089702489048488,450,9.316679135898474,0.5715660989797886,0.5768835928089621,COMPLETE
45,0.5373781830149051,2025-10-16 20:51:10.730680,2025-10-16 20:51:11.800034,0 days 00:00:01.069354,0.7942707945970536,0.854858769521227,0.030854064601911767,4,7.904358222384594,500,8.463582281961921,0.7801889129792788,0.5256887823982364,COMPLETE
46,0.5351931426827452,2025-10-16 20:51:11.800432,2025-10-16 20:51:12.934819,0 days 00:00:01.134387,0.7379534788331182,1.3685995619892333,0.02501449211893543,5,6.458328989916341,450,9.381734957162545,1.6757264344809062,0.567293657711419,COMPLETE
47,0.5372277278811386,2025-10-16 20:51:12.935251,2025-10-16 20:51:13.962948,0 days 00:00:01.027697,0.6897735778419267,0.8553564338728399,0.09303465571613379,4,5.735703604760034,500,0.060205177618796846,0.3115899964766691,0.5192286334535895,COMPLETE
48,0.5319121748480389,2025-10-16 20:51:13.963357,2025-10-16 20:51:14.972962,0 days 00:00:01.009605,0.775678771905779,0.4449325476257935,0.056789141218631524,5,7.628092070470042,400,8.859571371682438,9.21425346071927,0.5605862550002984,COMPLETE
49,0.5341641115846892,2025-10-16 20:51:14.973361,2025-10-16 20:51:15.710384,0 days 00:00:00.737023,0.814913193024152,1.7869248939610765,0.2320318110824946,3,8.349726791873524,500,6.527605153727665,0.9260210937617778,0.6471216443926406,COMPLETE
50,0.5363945392714063,2025-10-16 20:51:15.710785,2025-10-16 20:51:16.676611,0 days 00:00:00.965826,0.8974684114901631,0.04717270628206793,0.04127217665040393,4,6.806432617355395,450,7.795379907198449,1.9808318701176395,0.5049369781147393,COMPLETE
51,0.5323836903309043,2025-10-16 20:51:16.677030,2025-10-16 20:51:17.678982,0 days 00:00:01.001952,0.7588689148287115,0.4454667321033038,0.06426846523209248,5,7.864413024807676,400,8.834785893540577,9.742050131045465,0.564936013818354,COMPLETE
52,0.5314427324039137,2025-10-16 20:51:17.679399,2025-10-16 20:51:18.486083,0 days 00:00:00.806684,0.6134175990711688,1.2517518565589403,0.14371191569865152,5,7.385758760466964,400,9.511083622973866,6.849716941275375,0.5437044995875584,COMPLETE
53,0.5343515169571367,2025-10-16 20:51:18.486491,2025-10-16 20:51:19.378749,0 days 00:00:00.892258,0.6152085965771227,1.2344359228375867,0.1571880756631772,6,7.309806186083324,450,9.544515510078096,7.864377154287565,0.5399120614437175,COMPLETE
54,0.5323105933695625,2025-10-16 20:51:19.379152,2025-10-16 20:51:20.169255,0 days 00:00:00.790103,0.649749443616523,1.3287822751467209,0.13799639801953023,6,6.9741812255567845,400,9.179095542154501,6.927716943937062,0.5787598541104184,COMPLETE
55,0.5319572370015415,2025-10-16 20:51:20.169667,2025-10-16 20:51:20.968326,0 days 00:00:00.798659,0.6695631755678934,1.0176525813683468,0.1021241321322891,5,8.404436509450989,350,8.274058322698998,5.8143631565624005,0.6316884137648145,COMPLETE
56,0.5364039438469483,2025-10-16 20:51:20.968737,2025-10-16 20:51:21.686964,0 days 00:00:00.718227,0.5938296126235703,1.719604466650095,0.2314021614832006,5,9.575716729869955,450,9.675508001744033,0.3654644224652648,0.5506774710396584,COMPLETE
57,0.5325814999142651,2025-10-16 20:51:21.687367,2025-10-16 20:51:22.565882,0 days 00:00:00.878515,0.6224525839945247,1.4382469133979787,0.13864068430574755,6,6.03952523902823,500,9.06621223533402,6.975886110410668,0.5904944975830799,COMPLETE
58,0.5751051326947829,2025-10-16 20:51:22.566296,2025-10-16 20:51:23.215140,0 days 00:00:00.648844,0.6512870450728371,0.6589926134413717,0.013469926169511329,3,6.534734713920566,350,8.561603079888005,7.53705121960779,0.6222805762734867,COMPLETE
59,0.9410580453821206,2025-10-16 20:51:23.215542,2025-10-16 20:51:24.131058,0 days 00:00:00.915516,0.690399852960552,2.098051448618922,0.0014626475906934315,4,8.991726757984786,400,1.6405420884492736,5.088142226669425,0.5146727424429877,COMPLETE
60,0.5292690162447407,2025-10-16 20:51:24.131468,2025-10-16 20:51:25.559070,0 days 00:00:01.427602,0.7347439524879976,0.9808200935886662,0.03569524804799445,6,8.104303337074915,500,9.655489194397418,3.524756549807063,0.53088140449137,COMPLETE
61,0.5299902017209318,2025-10-16 20:51:25.559487,2025-10-16 20:51:26.949902,0 days 00:00:01.390415,0.7300919158813748,1.0826920852612185,0.03585606985003401,6,8.075534686576114,500,9.610102800169756,8.781411705520998,0.5323988129949826,COMPLETE
62,0.5327604886449057,2025-10-16 20:51:26.950299,2025-10-16 20:51:28.429299,0 days 00:00:01.479000,0.7322653675584095,0.9495740897911424,0.021276419086946628,6,7.319024036769099,500,9.98325652320961,8.763308869897509,0.5399356332015209,COMPLETE
63,0.5320566700378484,2025-10-16 20:51:28.429701,2025-10-16 20:51:29.682782,0 days 00:00:01.253081,0.7059848717286197,1.1457432247451693,0.033985035126611565,5,8.076858534563554,500,9.421074501665505,8.584549136489269,0.5050926681259262,COMPLETE
